Area,AspectRatio,Diameter,MeanGrey,StageX,StageY,O,Mgx,Alx,Si,S,Cax,Ti,Mn,Fe,Mg,Al,Ca
0.6443527,1.118034,0.9057679,87.14286,2.88208,0.11839,21.85791,0.2581707,16.00162,0.001447555,0,10.4151,0,9.955081,41.51067,0.012277642,0.687426025,0.300296333
2.416323,1.590841,1.754012,77.04762,0.143206,0.2475,35.92193,2.083061,21.27481,0.002395832,0.6000777,21.00126,0.1799779,9.519518,9.416971,0.06120463,0.564679438,0.374115931
2.071134,1.170471,1.623899,75.73333,0.081264,0.23099,25.58892,1.255588,18.95688,0,0.7177341,10.22775,0.04057506,8.748282,34.46427,0.05107928,0.696656138,0.252264581
1.633894,1.653828,1.442338,79.85915,0.07124,0.22708,24.14928,0.8920919,16.16942,0.3318523,0.7432458,12.42309,0,5.451356,39.83967,0.038735017,0.634223876,0.327041107
0.2991638,1.249992,0.6171767,116.4615,0.043502,0.18317,17.62712,0.9260366,12.72228,0.2830051,1.512489,12.00933,0,5.295582,49.62416,0.047007508,0.583388705,0.369603787
0.1841008,1.414144,0.4841533,103.875,0.128067,0.155,18.82795,5.318617,11.95959,0.1477769,0.3381461,0.05561168,0.03145196,4.834686,58.48617,0.32920427,0.668708783,0.002086947
3.129713,1.101371,1.996215,80.61765,0.148357,0.24505,32.06897,2.143424,20.43633,0.2558722,0.3335319,20.36157,0,2.936373,21.46392,0.065051872,0.560284502,0.374663626
0.115063,1.116658,0.3827568,115.2,0.295607,0.17636,8.950603,3.054305,6.557486,0.1586158,0.2609456,0.4906687,0.2446677,7.789678,72.49303,0.329288499,0.63863913,0.032072372
3.152726,1.120014,2.003541,74.62774,0.316938,0.20785,32.51615,1.574071,22.34215,0.1487519,0.1808247,15.32828,0,4.43369,23.47609,0.050694555,0.650003885,0.29930156
0.4142268,1.573246,0.7262299,95.05556,0.377548,0.184,15.25024,2.63387,11.42152,0.03287487,0.718506,2.34044,0.1703713,6.859342,60.57283,0.183284,0.717973006,0.098742994
0.09205039,1.581123,0.3423481,131.25,0.487584,0.25377,8.569202,3.352981,6.447176,0,0.4555368,0,0.1421232,8.339305,72.69367,0.365367483,0.634632517,0
3.106701,1.10137,1.988863,74.77778,0.496339,0.23887,28.78292,1.476984,21.442,0.1498938,0.6300427,12.21226,0.06996428,9.194726,26.04121,0.052281393,0.685631315,0.262087291
2.002096,1.170471,1.596605,72.22988,0.522461,0.19723,32.46591,2.073749,22.60065,0.1817849,1.002513,10.77243,0.2141104,0,30.68885,0.071456501,0.703494132,0.225049368
0.1841008,1.374349,0.4841533,125.375,0.486067,0.15061,10.58224,3.200786,6.536899,0,0.6667016,0,0,8.532455,70.48091,0.351508147,0.648491853,0
0.230126,1.666616,0.5412998,115.8,0.691496,0.26288,13.1482,4.257405,8.867005,0.3060186,0.3704801,0,0,4.661286,68.3896,0.347050989,0.652949011,0
0.6443527,1.118034,0.9057679,83.39286,0.862578,0.25054,24.8876,4.662499,19.00804,0,0.7083867,4.411918,0.6105545,6.694134,39.01687,0.190242245,0.700615178,0.109142577
2.531386,1.233659,1.795288,79.61818,0.79856,0.19885,24.88789,1.341994,16.70612,0,1.474664,11.87964,0,8.299182,35.41051,0.056777849,0.638495665,0.304726486
0.7364031,1.514382,0.9683065,82.0625,0.851165,0.18686,13.69433,0.3059586,10.14696,0.1544727,1.343055,5.473607,0.1568847,7.291723,61.43301,0.023920301,0.716628226,0.259451473
0.2761512,1.118034,0.5929642,86.75,0.884697,0.13731,15.87803,5.462894,11.05872,0.3405998,0.5702817,0.6552188,0,8.631799,57.40245,0.344662248,0.63027459,0.025063162
